user_id,tier,crawled
30516245,GOLD,0
30523928,BRONZE,0
30544197,SILVER,0
30559154,SILVER,0
30567601,SILVER,0
30569842,SILVER,0
30574616,SILVER,0
30580635,SILVER,0
30593643,SILVER,0
30607507,SILVER,0
30652412,SILVER,0
30657659,SILVER,0
30661810,BRONZE,0
30683548,SILVER,0
30690599,SILVER,0
30701992,SILVER,0
30702661,SILVER,0
30743552,SILVER,0
30782518,BRONZE,0
30836617,SILVER,0
30843678,BRONZE,0
30846468,SILVER,0
30847132,SILVER,0
30847254,SILVER,0
30848607,GOLD,0
30856841,SILVER,0
30861657,SILVER,0
30878296,SILVER,0
30878795,SILVER,0
30912672,SILVER,0
30938844,GOLD,0
30943661,SILVER,0
30967663,SILVER,0
30986896,SILVER,0
31012400,SILVER,0
31024722,SILVER,0
31050841,SILVER,0
31053666,SILVER,0
31058982,SILVER,0
31063609,SILVER,0
31066922,SILVER,0
31072025,SILVER,0
31094925,SILVER,0
31124770,SILVER,0
31130066,SILVER,0
31148155,SILVER,0
31152132,SILVER,0
31157351,SILVER,0
31182018,SILVER,0
31187473,SILVER,0
31236242,SILVER,0
31238278,SILVER,0
31246662,BRONZE,0
31247811,SILVER,0
31256252,SILVER,0
31265219,SILVER,0
31270323,SILVER,0
31275071,SILVER,0
31287040,SILVER,0
31298040,SILVER,0
31301648,SILVER,0
31306324,SILVER,0
31313862,SILVER,0
31314790,SILVER,0
31328694,SILVER,0
31336764,SILVER,0
31413963,SILVER,0
31414864,SILVER,0
31417545,SILVER,0
31429162,SILVER,0
31434573,SILVER,0
31447866,SILVER,0
31447947,SILVER,0
31510072,SILVER,0
31514905,BRONZE,0
31534156,SILVER,0
31543019,SILVER,0
31554651,SILVER,0
31567433,SILVER,0
31597338,SILVER,0
31598614,SILVER,0
31602823,SILVER,0
31621464,SILVER,0
31649997,SILVER,0
31654399,SILVER,0
31663354,SILVER,0
31673752,SILVER,0
31676025,SILVER,0
31680802,SILVER,0
31682058,BRONZE,0
31774617,SILVER,0
31782029,SILVER,0
31850025,SILVER,0
31904505,SILVER,0
31913399,SILVER,0
31915929,SILVER,0
31919316,BRONZE,0
31923434,SILVER,0
31924950,SILVER,0
31930299,SILVER,0
31943396,GOLD,0
31981228,SILVER,0
31990956,SILVER,0
32013501,SILVER,0
32040300,SILVER,0
32178783,SILVER,0
32205781,SILVER,0
32213939,SILVER,0
32216867,BRONZE,0
32252421,SILVER,0
32257979,SILVER,0
32259587,SILVER,0
32261548,SILVER,0
32273686,SILVER,0
32278899,SILVER,0
32305228,SILVER,0
32308146,SILVER,0
32308799,SILVER,0
32350720,SILVER,0
32355773,SILVER,0
32369622,BRONZE,0
32372765,SILVER,0
32392865,SILVER,0
32400391,SILVER,0
32413887,SILVER,0
32419243,BRONZE,0
32455815,SILVER,0
32456417,SILVER,0
32459422,SILVER,0
32490512,SILVER,0
32491033,BRONZE,0
32528576,SILVER,0
32541553,SILVER,0
32541984,SILVER,0
32548004,SILVER,0
32572216,SILVER,0
32580972,SILVER,0
